session_id,customer_age,account_tenure_days,previous_purchases,product_category,items_in_cart,cart_value,treatment,completed_purchase,Y0,Y1
1,35-44,51,3,Fashion,8,92.43,1,1,0,1
2,45-54,133,1,Electronics,5,42.17,0,1,1,0
3,45-54,181,0,Electronics,3,32.13,0,1,1,0
4,18-24,565,0,Fashion,3,103.06,1,0,0,0
5,25-34,52,5,Electronics,2,62.17,1,1,1,1
6,55+,332,0,Fashion,11,105.56,1,1,1,1
7,35-44,318,0,Home & Garden,5,99.26,1,1,0,1
8,25-34,164,0,Home & Garden,3,30.99,0,0,0,0
9,35-44,173,1,Fashion,4,62.84,1,0,1,0
10,25-34,240,1,Fashion,2,27.5,0,0,0,0
11,45-54,344,3,Sports & Outdoors,8,56.05,1,0,1,0
12,25-34,5,0,Sports & Outdoors,6,61.38,1,0,1,0
13,35-44,506,13,Electronics,4,43.6,0,0,0,1
14,18-24,288,5,Electronics,2,55.97,1,0,1,0
15,35-44,156,0,Home & Garden,6,61.48,1,0,1,0
16,25-34,287,4,Home & Garden,3,59.89,1,1,1,1
17,55+,251,0,Sports & Outdoors,4,42.2,0,0,0,0
18,25-34,87,3,Fashion,5,35.87,0,0,0,0
19,45-54,63,1,Home & Garden,4,95.28,1,0,1,0
20,45-54,209,2,Fashion,3,49.67,0,0,0,0
21,45-54,311,0,Sports & Outdoors,2,38.57,0,0,0,1
22,18-24,544,1,Books & Media,3,31.68,0,0,0,1
23,25-34,347,10,Fashion,3,38.3,0,0,0,1
24,25-34,85,3,Electronics,5,122.01,1,1,0,1
25,35-44,174,1,Fashion,3,50.73,1,0,0,0
26,25-34,88,2,Electronics,2,72.03,1,1,1,1
27,35-44,58,2,Fashion,4,56.41,1,1,1,1
28,35-44,263,4,Fashion,3,52.16,1,1,1,1
29,25-34,233,3,Fashion,4,64.88,1,1,0,1
30,25-34,70,0,Books & Media,4,20.78,0,1,1,1
31,45-54,161,3,Fashion,5,57.86,1,1,1,1
32,18-24,320,2,Home & Garden,5,97.15,1,0,1,0
33,35-44,385,5,Fashion,4,48.76,0,0,0,1
34,18-24,176,4,Home & Garden,2,55.39,1,1,1,1
35,35-44,129,1,Sports & Outdoors,8,82.64,1,1,0,1
36,35-44,57,3,Fashion,7,77.67,1,0,1,0
37,25-34,391,2,Electronics,3,56.57,1,0,1,0
38,55+,102,3,Home & Garden,4,85.74,1,0,1,0
39,25-34,143,7,Home & Garden,4,61.11,1,0,0,0
40,25-34,53,0,Sports & Outdoors,2,65.95,1,0,0,0
41,25-34,262,0,Books & Media,1,56.05,1,1,0,1
42,35-44,192,1,Fashion,5,24.39,0,1,1,1
43,25-34,141,2,Home & Garden,5,62.53,1,1,1,1
44,18-24,80,8,Fashion,2,69.38,1,0,1,0
45,25-34,144,4,Books & Media,3,45.84,0,1,1,1
46,55+,118,0,Fashion,4,83.29,1,1,0,1
47,25-34,21,6,Home & Garden,3,97.85,1,0,1,0
48,25-34,123,7,Home & Garden,5,61.18,1,0,0,0
49,35-44,145,0,Electronics,4,40.28,0,0,0,1
50,55+,92,1,Books & Media,5,66.44,1,1,0,1
51,25-34,255,0,Fashion,1,38.46,0,0,0,0
52,25-34,96,1,Books & Media,9,68.17,1,0,1,0
53,18-24,345,0,Home & Garden,7,36.71,0,1,1,0
54,25-34,255,3,Fashion,2,48.95,0,0,0,1
55,55+,9,0,Books & Media,4,33.31,0,0,0,0
56,25-34,93,2,Home & Garden,3,50.39,1,1,0,1
57,18-24,441,1,Home & Garden,4,88.19,1,0,0,0
58,35-44,157,2,Books & Media,4,27.2,0,1,1,1
59,25-34,519,7,Fashion,5,87.8,1,1,1,1
60,35-44,220,1,Electronics,4,89.33,1,0,0,0
61,35-44,702,3,Electronics,5,65.41,1,1,1,1
62,35-44,143,1,Fashion,2,26.46,0,1,1,0
63,25-34,33,4,Sports & Outdoors,4,42.66,0,1,1,1
64,35-44,36,0,Books & Media,3,74.12,1,0,1,0
65,18-24,213,1,Books & Media,3,64.68,1,0,0,0
66,25-34,226,1,Fashion,5,48.01,0,0,0,1
67,25-34,371,7,Fashion,4,57.22,1,0,1,0
68,25-34,469,0,Fashion,3,27.71,0,1,1,0
69,35-44,752,1,Home & Garden,6,75.69,1,0,0,0
70,18-24,85,3,Sports & Outdoors,2,51.3,1,0,0,0
71,25-34,189,0,Fashion,5,92.35,1,1,0,1
72,25-34,332,5,Fashion,5,71.67,1,1,1,1
73,35-44,511,1,Home & Garden,4,167.95,1,1,1,1
74,35-44,97,1,Sports & Outdoors,6,66.69,1,1,0,1
75,35-44,286,6,Home & Garden,4,58.78,1,1,0,1
76,25-34,220,0,Sports & Outdoors,3,34.79,0,0,0,0
77,25-34,180,4,Fashion,7,53.9,1,1,0,1
78,25-34,110,1,Fashion,3,82.32,1,1,0,1
79,18-24,144,4,Books & Media,6,5.89,0,1,1,1
80,35-44,21,0,Electronics,3,28.27,0,1,1,1
81,25-34,57,3,Home & Garden,6,91.22,1,1,0,1
82,18-24,394,7,Electronics,4,45.19,0,1,1,1
83,55+,586,2,Fashion,1,81.43,1,1,0,1
84,18-24,116,3,Sports & Outdoors,5,59.12,1,1,1,1
85,35-44,457,3,Electronics,7,59.46,1,1,1,1
86,35-44,93,0,Fashion,4,48.77,0,1,1,0
87,18-24,242,2,Electronics,6,93.37,1,1,1,1
88,35-44,82,5,Fashion,3,76.5,1,0,1,0
89,25-34,224,1,Home & Garden,2,97.03,1,1,1,1
90,35-44,498,6,Sports & Outdoors,5,30.52,0,1,1,0
91,55+,142,2,Fashion,6,86.75,1,1,1,1
92,55+,165,5,Home & Garden,3,35.13,0,0,0,0
93,35-44,191,5,Books & Media,3,33.06,0,0,0,1
94,25-34,269,0,Books & Media,4,127.55,1,1,0,1
95,25-34,204,0,Electronics,3,58.52,1,1,0,1
96,45-54,310,1,Fashion,3,60.87,1,0,1,0
97,35-44,136,2,Home & Garden,4,68.31,1,0,1,0
98,18-24,150,3,Fashion,4,105.27,1,1,1,1
99,35-44,221,2,Fashion,3,23.74,0,0,0,1
100,55+,105,2,Sports & Outdoors,4,44.73,0,0,0,1
101,25-34,547,6,Fashion,3,72.34,1,0,0,0
102,25-34,110,0,Home & Garden,3,80.31,1,0,1,0
103,18-24,95,3,Electronics,3,54.68,1,0,1,0
104,45-54,615,3,Home & Garden,7,31.9,0,1,1,1
105,25-34,250,2,Electronics,4,53.94,1,0,1,0
106,25-34,196,0,Electronics,7,150.83,1,0,1,0
107,25-34,133,0,Home & Garden,6,72.27,1,1,1,1
108,25-34,101,4,Sports & Outdoors,4,25.83,0,1,1,1
109,18-24,519,7,Home & Garden,6,40.75,0,1,1,1
110,35-44,103,1,Sports & Outdoors,5,48.74,0,1,1,0
111,45-54,51,5,Sports & Outdoors,4,19.01,0,1,1,0
112,55+,81,3,Electronics,3,90.91,1,1,0,1
113,25-34,206,1,Fashion,4,87.12,1,0,1,0
114,25-34,82,9,Electronics,5,47.65,0,0,0,0
115,35-44,61,0,Books & Media,4,19.78,0,0,0,0
116,35-44,55,0,Fashion,4,44.88,0,0,0,1
117,25-34,15,1,Books & Media,3,27.31,0,0,0,1
118,25-34,145,0,Electronics,5,75.41,1,1,0,1
119,55+,138,0,Home & Garden,6,106.74,1,0,1,0
120,35-44,91,5,Electronics,4,45.28,0,0,0,0
121,18-24,113,1,Sports & Outdoors,4,94.81,1,1,1,1
122,25-34,38,1,Electronics,2,76.44,1,0,0,0
123,45-54,225,6,Home & Garden,2,29.62,0,1,1,1
124,25-34,134,2,Electronics,4,66.63,1,1,1,1
125,25-34,259,3,Fashion,4,58.38,1,0,1,0
126,25-34,49,2,Fashion,1,42.74,0,0,0,1
127,25-34,215,4,Home & Garden,4,58.67,1,1,0,1
128,45-54,114,3,Electronics,1,29.17,0,0,0,0
129,18-24,317,0,Home & Garden,6,43.02,0,1,1,0
130,45-54,165,2,Sports & Outdoors,3,50.29,1,0,0,0
131,25-34,351,1,Sports & Outdoors,6,54.18,1,1,1,1
132,25-34,177,0,Books & Media,3,16.2,0,1,1,1
133,18-24,41,0,Sports & Outdoors,5,29.56,0,1,1,0
134,25-34,280,1,Sports & Outdoors,11,96.35,1,0,0,0
135,55+,170,7,Fashion,1,87.72,1,1,1,1
136,25-34,87,3,Fashion,2,82.87,1,0,1,0
137,25-34,33,0,Electronics,5,59.02,1,1,0,1
138,35-44,393,0,Electronics,5,79.16,1,1,1,1
139,35-44,504,3,Fashion,4,87.53,1,0,1,0
140,45-54,84,0,Electronics,5,58.61,1,1,1,1
141,25-34,123,2,Fashion,1,138.06,1,1,1,1
142,55+,63,0,Electronics,3,46.52,0,1,1,1
143,25-34,107,4,Home & Garden,5,51.86,1,0,1,0
144,35-44,221,0,Books & Media,4,13.0,0,0,0,1
145,25-34,34,4,Electronics,6,99.98,1,1,0,1
146,25-34,99,4,Electronics,8,86.77,1,1,1,1
147,35-44,211,5,Books & Media,2,33.48,0,0,0,0
148,18-24,135,6,Home & Garden,4,39.67,0,0,0,0
149,25-34,213,12,Home & Garden,2,73.57,1,1,0,1
150,25-34,94,1,Books & Media,4,35.58,0,1,1,1
151,35-44,271,0,Fashion,2,86.12,1,1,0,1
152,25-34,47,0,Fashion,5,107.36,1,0,0,0
153,25-34,382,0,Home & Garden,4,98.18,1,1,1,1
154,25-34,36,4,Electronics,3,38.86,0,0,0,1
155,55+,150,6,Home & Garden,4,53.75,1,0,1,0
156,25-34,103,0,Fashion,4,73.01,1,1,1,1
157,55+,194,3,Electronics,3,31.28,0,0,0,1
158,45-54,93,2,Sports & Outdoors,6,90.44,1,0,1,0
159,25-34,145,1,Home & Garden,2,57.23,1,0,0,0
160,25-34,30,3,Electronics,4,24.37,0,1,1,1
161,35-44,524,3,Fashion,4,74.7,1,1,1,1
162,55+,448,3,Home & Garden,4,50.48,1,1,0,1
163,45-54,65,0,Electronics,3,127.47,1,1,1,1
164,25-34,196,4,Fashion,4,55.63,1,0,1,0
165,25-34,94,0,Home & Garden,3,69.61,1,1,1,1
166,25-34,64,1,Home & Garden,3,56.31,1,0,1,0
167,35-44,41,0,Electronics,5,33.92,0,1,1,1
168,18-24,299,1,Electronics,6,60.78,1,1,0,1
169,35-44,98,1,Sports & Outdoors,2,76.48,1,1,0,1
170,18-24,64,0,Fashion,6,22.2,0,0,0,0
171,35-44,68,1,Sports & Outdoors,3,41.47,0,0,0,0
172,35-44,14,0,Sports & Outdoors,2,64.29,1,1,0,1
173,45-54,200,3,Electronics,4,80.56,1,0,0,0
174,35-44,155,4,Electronics,5,72.37,1,0,1,0
175,35-44,246,0,Books & Media,2,32.2,0,1,1,1
176,35-44,113,0,Home & Garden,5,38.89,0,0,0,0
177,25-34,134,1,Fashion,3,26.64,0,0,0,1
178,25-34,130,0,Fashion,5,43.64,0,0,0,0
179,25-34,121,2,Home & Garden,4,54.01,1,1,0,1
180,25-34,159,0,Fashion,1,43.59,0,1,1,1
181,35-44,108,2,Fashion,2,22.72,0,1,1,1
182,25-34,449,3,Electronics,2,42.62,0,1,1,1
183,55+,56,0,Electronics,4,45.01,0,0,0,1
184,35-44,106,2,Fashion,3,60.92,1,1,0,1
185,25-34,165,0,Fashion,7,44.53,0,1,1,1
186,55+,98,4,Fashion,7,95.69,1,0,0,0
187,25-34,138,2,Fashion,5,42.94,0,0,0,1
188,25-34,127,0,Electronics,2,92.14,1,1,1,1
189,25-34,5,0,Sports & Outdoors,3,82.54,1,1,1,1
190,45-54,74,0,Electronics,4,71.58,1,1,1,1
191,35-44,163,0,Fashion,7,49.31,0,0,0,0
192,35-44,312,0,Sports & Outdoors,2,90.82,1,1,0,1
193,25-34,147,2,Sports & Outdoors,8,67.18,1,0,1,0
194,25-34,290,0,Fashion,7,35.95,0,0,0,1
195,18-24,148,0,Fashion,3,37.77,0,0,0,0
196,25-34,58,1,Sports & Outdoors,1,77.54,1,0,1,0
197,25-34,116,3,Home & Garden,2,86.16,1,1,0,1
198,18-24,197,1,Fashion,2,68.34,1,0,1,0
199,45-54,105,15,Electronics,7,118.45,1,1,0,1
200,18-24,400,2,Fashion,3,93.72,1,0,1,0
201,18-24,439,2,Fashion,2,84.72,1,0,1,0
202,25-34,383,0,Electronics,5,105.63,1,0,0,0
203,25-34,235,2,Home & Garden,8,89.58,1,1,1,1
204,25-34,327,0,Fashion,3,60.77,1,1,1,1
205,18-24,257,0,Electronics,3,122.31,1,0,0,0
206,25-34,235,10,Fashion,1,58.2,1,0,1,0
207,35-44,169,0,Sports & Outdoors,2,62.82,1,0,0,0
208,18-24,139,0,Home & Garden,5,41.91,0,0,0,0
209,35-44,90,0,Home & Garden,6,34.87,0,1,1,1
210,18-24,185,1,Home & Garden,2,40.15,0,1,1,0
211,45-54,45,2,Home & Garden,1,79.85,1,1,1,1
212,25-34,196,15,Fashion,2,88.52,1,1,0,1
213,35-44,199,1,Fashion,6,27.12,0,0,0,1
214,25-34,571,1,Books & Media,3,62.37,1,1,0,1
215,45-54,27,4,Books & Media,5,112.03,1,0,0,0
216,25-34,140,0,Sports & Outdoors,2,55.52,1,0,0,0
217,25-34,138,0,Sports & Outdoors,4,33.92,0,1,1,0
218,18-24,295,2,Sports & Outdoors,1,45.28,0,1,1,0
219,45-54,45,3,Electronics,4,78.49,1,0,0,0
220,18-24,496,3,Fashion,5,72.92,1,1,0,1
221,18-24,37,7,Home & Garden,6,84.41,1,1,1,1
222,35-44,100,0,Books & Media,5,38.89,0,1,1,0
223,55+,125,0,Books & Media,2,11.69,0,1,1,1
224,18-24,149,0,Electronics,4,79.61,1,0,1,0
225,25-34,117,0,Fashion,5,35.76,0,0,0,0
226,18-24,412,1,Books & Media,3,35.66,0,0,0,1
227,25-34,18,1,Electronics,6,60.89,1,1,1,1
228,35-44,229,0,Home & Garden,2,41.7,0,1,1,1
229,45-54,99,0,Electronics,6,51.0,1,0,0,0
230,25-34,396,1,Fashion,3,31.95,0,0,0,1
231,45-54,363,0,Electronics,7,34.43,0,0,0,0
232,25-34,241,2,Home & Garden,3,33.56,0,0,0,1
233,25-34,50,0,Home & Garden,5,39.59,0,1,1,1
234,25-34,163,0,Fashion,6,41.08,0,0,0,1
235,25-34,83,1,Electronics,3,84.05,1,1,0,1
236,25-34,219,0,Fashion,4,50.83,1,1,1,1
237,55+,130,1,Home & Garden,3,33.84,0,0,0,1
238,18-24,159,0,Electronics,9,79.91,1,1,1,1
239,35-44,313,0,Sports & Outdoors,8,29.66,0,0,0,1
240,18-24,262,10,Sports & Outdoors,4,31.63,0,1,1,0
241,35-44,361,2,Home & Garden,3,39.41,0,0,0,1
242,25-34,337,2,Fashion,6,29.81,0,1,1,1
243,18-24,253,3,Sports & Outdoors,2,30.97,0,1,1,0
244,35-44,81,4,Electronics,3,83.61,1,0,1,0
245,25-34,340,3,Electronics,3,100.08,1,0,1,0
246,35-44,187,1,Fashion,8,64.81,1,0,1,0
247,25-34,271,0,Electronics,2,32.59,0,0,0,0
248,55+,153,1,Electronics,3,79.57,1,0,1,0
249,25-34,365,5,Electronics,3,99.18,1,1,0,1
250,35-44,23,2,Home & Garden,6,64.58,1,1,0,1
251,35-44,129,0,Home & Garden,3,42.84,0,1,1,0
252,55+,307,3,Fashion,2,103.6,1,1,1,1
253,35-44,78,0,Home & Garden,7,64.37,1,0,0,0
254,25-34,85,1,Books & Media,2,18.8,0,0,0,0
255,35-44,202,0,Books & Media,7,9.04,0,1,1,1
256,45-54,435,0,Fashion,5,43.21,0,1,1,0
257,45-54,128,0,Sports & Outdoors,4,36.18,0,0,0,1
258,25-34,39,3,Fashion,6,64.59,1,1,1,1
259,35-44,265,0,Home & Garden,3,41.92,0,0,0,1
260,55+,440,1,Home & Garden,3,94.66,1,1,1,1
261,25-34,214,0,Books & Media,7,9.48,0,0,0,1
262,25-34,304,14,Electronics,1,67.03,1,1,1,1
263,55+,656,1,Books & Media,5,55.69,1,1,0,1
264,55+,604,3,Fashion,4,19.89,0,0,0,0
265,55+,463,2,Electronics,3,35.0,0,1,1,1
266,55+,207,1,Electronics,4,93.67,1,1,0,1
267,25-34,211,0,Fashion,3,40.26,0,0,0,0
268,35-44,73,0,Fashion,5,94.73,1,0,1,0
